Denominacion;Latitud;Longitud;COT 30 cm
P 1;-38,425483;-62,290175;56,66
P 2;-38,429417;-62,280694;125,4
P 3;-38,4408055;-62,283556;50,16
P 4;-38,439722;-62,285917;36,79
P 5;-38,4261;-62,2933;47,6232
P 6;-38,4268;-62,2964;148,905
P 7;-38,429778;-62,290583;50,76
P 8;-38,428139;-62,292278;54,528
P 9;-38,436028;-62,284333;82,65
P 10;-38,438583;-62,282194;57,6
P 11;-38,444111;-62,285556;51,12
P 12;-38,442889;-62,287389;45,87
P 13;-38,4415;-62,286639;45,54
P 14;-38,438417;-62,283639;65,76
P 15;-38,431778;-62,277694;53,3
P 16;-38,433944;-62,281833;61,92
P 17;-38,445386;-62,283173;48,24
P 18;-38,442306;-62,288611;48,23
P 19;-38,439278;-62,290861;67,98935
P 20;-38,436583;-62,290639;46,32
P 21;-38,428472;-62,283278;40,134
P 22;-38,4286111;-62,28130556;41,719
P 23;-38,422261;-62,270216;53,76
P 24;-38,422306;-62,273333;48,7
P 25;-38,4195;-62,292972;39,7795
P 26;-38,418917;-62,287083;59,91492
P 27;-38,418919;-62,299267;54,436
P 28;-38,414833;-62,299528;54,07146
P 29;-38,428417;-62,276694;58,01103
P 30;-38,429972;-62,276694;61,593
P 31;-38,419694;-62,282944;37,44
P 32;-38,4213889;-62,27783333;47,598
P 33;-38,42575;-62,282361;65,7
P 34;-38,4278;-62,291389;63,77
P 35;-38,421083;-62,295417;47,88
P 36;-38,428851;-62,303096;49,14
P 37;-38,429806;-62,302417;52,509
P 38;-38,420075;-62,282053;36,192
P 39;-38,422151;-62,276151;39,84
P 40;-38,4205;-62,289833;41,724
P 41;-38,418222;-62,287278;58,2666
P 42;-38,413578;-62,290808;53,2384
P 43;-38,428944;-62,291313;74,96
P 44;-38,429955;-62,293808;44,432
P 45;-38,4106111;-62,3001111;49,66
P 46;-38,41141667;-62,2993055;55,166
P 47;-38,42791667;-62,27725;74,772
P 48;-38,42836111;-62,27675;94,5594
